                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2878,                0.85536,                 1.0486,                0.85106,                0.84937,                0.90126,                0.44392,                 1.4391,                0.98493,                 1.4978,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3311,                0.83657,                 1.0909,                0.90242,                 0.8747,                 0.9386,                0.52389,                 1.4571,                0.91028,                 1.4566,               0.000948,               0.000948,               0.000948
                     37,                 1.2548,                0.76929,                 1.0563,                0.88347,                0.83781,                0.90379,                0.47617,                 1.5162,                  1.072,                 1.5671,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2709,                0.78374,                 1.0808,                0.86982,                0.81536,                0.90153,                0.47777,                 1.5606,                 1.0584,                 1.3715,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2574,                 0.7966,                 1.0786,                0.85764,                0.86542,                0.91229,                0.46812,                 1.7685,                 1.0143,                 1.4486,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2525,                0.76101,                 1.0739,                0.82612,                0.90966,                0.90176,                0.48257,                 1.6699,                0.97143,                 1.4264,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2108,                0.76433,                 1.0392,                0.89535,                0.81648,                0.88316,                0.48424,                 1.4518,                 1.0007,                 1.4454,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2398,                0.76596,                 1.0462,                0.85867,                0.87893,                  0.901,                0.47729,                 1.7755,                 1.0329,                 1.5104,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2721,                0.80694,                 1.0759,                 0.8686,                0.89869,                0.92714,                0.49104,                  1.404,                0.91675,                 1.3745,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2367,                0.74629,                 1.0281,                0.82893,                 0.9216,                0.92798,                 0.4679,                 1.4459,                0.98252,                 1.3848,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1966,                0.77528,                 1.0369,                0.92131,                0.87454,                0.92936,                0.53468,                 1.4068,                0.95538,                  1.366,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2507,                0.77565,                 1.0345,                0.91237,                 0.7761,                0.94498,                0.47784,                 1.6766,                0.96186,                 1.3851,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1418,                0.75086,                 1.0002,                0.89254,                0.92264,                0.93453,                0.50683,                 1.5034,                0.86631,                  1.392,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1773,                0.75931,                 1.0368,                0.92514,                0.86346,                  0.909,                0.47931,                 1.4119,                0.89232,                  1.341,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2209,                0.71148,                 1.0608,                0.86299,                0.86542,                0.91083,                 0.5072,                  1.431,                0.93156,                 1.4512,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1423,                0.70866,                 1.0428,                0.87333,                0.81375,                0.91974,                0.51524,                 1.5328,                0.90827,                 1.3519,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1769,                0.71682,                 1.0311,                0.91341,                0.83778,                0.92431,                0.49721,                 1.6844,                 1.0159,                 1.3597,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1255,                0.68703,                 1.0064,                0.85854,                0.94376,                0.94221,                0.51529,                 1.6005,                0.95896,                  1.355,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.0846,                 0.6891,                 1.0302,                 0.9434,                0.87423,                0.93612,                0.51102,                 1.7095,                0.93072,                 1.4122,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1477,                0.68769,                 1.0333,                0.91958,                0.87585,                0.93399,                0.54601,                 1.3505,                0.93333,                 1.2131,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1075,                0.66548,                 1.0072,                0.85728,                0.86661,                0.93117,                0.53313,                 1.2712,                0.91287,                 1.2699,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0562,                0.63636,                0.98643,                0.88197,                0.89235,                0.93398,                0.52337,                 1.4551,                  0.918,                 1.3107,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0682,                0.62709,                0.98999,                0.85914,                0.87229,                0.94046,                0.52341,                 1.4878,                0.86861,                 1.3789,             0.00065091,             0.00065091,             0.00065091
